step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
294,0.0,2.52,0,36.620000000000005,0.6799999999999999,10.82,17.759999999999998,0,
295,0.0,1.52,0,27.62,29.68,9.82,3.76,3.22,
296,0.0,0,0.8800000000000008,27.62,0,0,11.76,0,
297,0.0,0,0,1.620000000000001,9.68,3.8200000000000003,9.76,0,
298,0.0,0,0,7.620000000000001,50.68,0,7.76,0,
299,0.0,0,0,27.62,24.68,0.8200000000000003,10.76,0,
300,0.0,2.52,0,28.62,39.68,0,9.76,0,
301,0.0,2.52,15.88,35.620000000000005,13.68,0,16.759999999999998,0,
302,0.0,0,20.880000000000003,19.62,0,0,0,0,
303,0.0,3.52,1.8800000000000008,24.62,19.68,0,9.76,0,
304,0.0,0.52,2.880000000000001,23.62,11.68,3.8200000000000003,8.76,0,
305,0.0,2.52,44.88,23.62,29.68,0,9.76,0,
306,0.0,0.52,0,23.62,16.68,0.8200000000000003,10.76,0,
307,0.0,0,3.880000000000001,24.62,43.68,12.82,9.76,0,
308,0.0,3.52,0,9.620000000000001,0,25.82,11.76,0,
309,0.0,0,0,20.62,14.68,20.82,6.76,0,
310,0.0,0,0,23.62,14.68,5.82,3.76,0,
311,0.0,2.52,0.8800000000000008,19.62,24.68,2.8200000000000003,16.759999999999998,0,
312,0.0,0.52,0,10.620000000000001,4.68,99.82,10.76,0,
313,0.0,7.52,0,19.62,24.68,0,12.76,0,
314,0.0,2.52,5.880000000000001,18.62,10.68,20.82,14.76,0,
315,0.0,2.52,0,19.62,26.68,0,8.76,0.2200000000000002,
316,0.0,0,73.88,23.62,27.68,0,4.76,0,
317,0.0,6.52,0,15.620000000000001,11.68,0,19.759999999999998,0,
318,0.0,2.52,2.880000000000001,16.62,0,15.82,17.759999999999998,0,
319,0.0,7.52,1.8800000000000008,19.62,14.68,21.82,6.76,0,
320,0.0,3.52,9.88,42.620000000000005,16.68,0,10.76,0,
321,0.0,4.52,6.880000000000001,20.62,31.68,0,13.76,0,
