step,tof,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7
334,169,0.0,0.0,0.0,0.0,0,0,2.2200000000000006,4.54,
335,169,0.0,0.0,0.0,0.0,0,0,17.22,5.54,
336,169,0.0,0.0,0.0,0.0,0,0,22.22,3.54,
337,169,0.0,0.0,0.0,0.0,0,0,33.22,0.54,
338,169,0.0,0.0,0.0,0.0,0,17.14,9.22,0.54,
339,169,0.0,0.0,0.0,0.0,0,0,13.22,57.54,
340,169,0.0,0.0,0.0,0.0,0,0,17.22,10.54,
341,162,0.0,0.0,0.0,0.0,0,0,19.22,4.54,
342,162,0.0,0.0,0.0,0.0,0,31.14,9.22,3.54,
343,162,0.0,0.0,0.0,0.0,0,0,14.22,0,
344,162,0.0,0.0,0.0,0.0,0,0,17.22,1.54,
345,162,0.0,0.0,0.0,0.0,0,0,19.22,1.54,
346,159,0.0,0.0,0.0,0.0,0,0,19.22,53.54,
347,159,0.0,0.0,0.0,0.0,0,0,20.22,2.54,
348,159,0.0,0.0,0.0,0.0,0,0,18.22,6.54,
349,159,0.0,0.0,0.0,0.0,0,0,4.220000000000001,0,
350,159,0.0,0.0,0.0,0.0,0,0,19.22,1.54,
351,154,0.0,0.0,0.0,0.0,0,0,19.22,4.54,
352,154,0.0,0.0,0.0,0.0,0,0,23.22,3.54,
353,154,0.0,0.0,0.0,0.0,0,6.140000000000001,12.22,4.54,
354,154,0.0,0.0,0.0,0.0,0,0,0,6.54,
355,154,0.0,0.0,0.0,0.0,0,0,15.22,0,
356,150,0.0,0.0,0.0,0.0,0,16.14,5.220000000000001,4.54,
357,150,0.0,0.0,0.0,0.0,0,0,19.22,17.54,
358,150,0.0,0.0,0.0,0.0,0,0,47.22,52.54,
359,150,0.0,0.0,0.0,0.0,0,32.14,20.22,2.54,
360,152,0.0,0.0,0.0,0.0,0,0,24.22,4.54,
361,152,0.0,0.0,0.0,0.0,0,0,0,4.54,
362,152,0.0,0.0,0.0,0.0,0,0,17.22,2.54,
363,152,0.0,0.0,0.0,0.0,0,0,16.22,2.54,
364,152,0.0,0.0,0.0,0.0,0,0,19.22,32.54,
365,146,0.0,0.0,0.0,0.0,0,0,19.22,4.54,
366,146,0.0,0.0,0.0,0.0,0,0,44.22,4.54,
367,146,0.0,0.0,0.0,0.0,0,36.14,17.22,0,
368,146,0.0,0.0,0.0,0.0,0,0,17.22,9.54,
369,146,0.0,0.0,0.0,0.0,0,3.1400000000000006,44.22,2.54,
370,144,0.0,0.0,0.0,0.0,0,46.14,26.22,67.54,
371,144,0.0,0.0,0.0,0.0,0,0,20.22,0.54,
372,144,0.0,0.0,0.0,0.0,0,0,19.22,12.54,
373,144,0.0,0.0,0.0,0.0,0,0,0,0,
374,144,0.0,0.0,0.0,0.0,0,29.14,23.22,4.54,
375,139,0.0,0.0,0.0,0.0,0,0,20.22,0,
376,139,0.0,0.0,0.0,0.0,0,0,44.22,0.54,
377,139,0.0,0.0,0.0,0.0,0,0,20.22,3.54,
378,139,0.0,0.0,0.0,0.0,0,14.14,18.22,1.54,
379,139,0.0,0.0,0.0,0.0,0,0,0,26.54,
380,141,0.0,0.0,0.0,0.0,0,0,18.22,6.54,
381,141,0.0,0.0,0.0,0.0,0,0,18.22,7.54,
382,141,0.0,0.0,0.0,0.0,0,0,29.22,0,
383,141,0.0,0.0,0.0,0.0,0,0.14000000000000057,24.22,4.54,
384,141,0.0,0.0,0.0,0.0,0,0,42.22,7.54,
385,134,0.0,0.0,0.0,0.0,0,0,20.22,2.54,
386,134,0.0,0.0,0.0,0.0,0,0,18.22,11.54,
387,134,0.0,0.0,0.0,0.0,0,0,31.22,5.54,
388,134,0.0,0.0,0.0,0.0,0,0,47.22,68.54,
389,134,0.0,0.0,0.0,0.0,0,0,29.22,6.54,
390,131,0.0,0.0,0.0,0.0,0,0,23.22,30.54,
391,131,0.0,0.0,0.0,0.0,0,6.140000000000001,6.220000000000001,10.54,
392,131,0.0,0.0,0.0,0.0,0,0,18.22,6.54,
393,131,0.0,0.0,0.0,0.0,0,0,18.22,0,
394,131,0.0,0.0,0.0,0.0,0,0,44.22,0,
395,129,0.0,0.0,0.0,0.0,0,0,18.22,6.54,
396,129,0.0,0.0,0.0,0.0,0,0,18.22,3.54,
397,129,0.0,0.0,0.0,0.0,0,0,0,96.54,
398,129,0.0,0.0,0.0,0.0,0,0,24.22,7.54,
399,126,0.0,0.0,0.0,0.0,0,0,20.22,16.54,
400,126,0.0,0.0,0.0,0.0,0,17.14,23.22,0,
